feature,tdc_name
AMES,AMES
BBB,BBB_Martins
Bioavailability,Bioavailability_Ma
CYP1A2,CYP1A2_Veith
CYP2C19,CYP2C19_Veith
CYP2C9_Substrate,CYP2C9_Substrate_CarbonMangels
CYP2C9,CYP2C9_Veith
CYP2D6_Substrate,CYP2D6_Substrate_CarbonMangels
CYP2D6,CYP2D6_Veith
CYP3A4_Substrate,CYP3A4_Substrate_CarbonMangels
CYP3A4,CYP3A4_Veith
Carcinogens,Carcinogens_Lagunin
ClinTox,ClinTox
DILI,DILI
HIA,HIA_Hou
NR-AR-LBD,
NR-AR,
NR-AhR,
NR-Aromatase,
NR-ER-LBD,
NR-ER,
NR-PPAR-gamma,
PAMPA,PAMPA_NCATS
Pgp,Pgp_Broccatelli
SR-ARE,
SR-ATAD5,
SR-HSE,
SR-MMP,
SR-p53,
Skin_Reaction,Skin Reaction
hERG,hERG
Caco2,Caco2_Wang
Clearance_Hepatocyte,Clearance_Hepatocyte_AZ
Clearance_Microsome,Clearance_Microsome_AZ
Half_Life,Half_Life_Obach
Hydration_FreeEnergy,HydrationFreeEnergy_FreeSolv
LD50,LD50_Zhu
Lipophilicity,Lipophilicity_AstraZeneca
PPBR,PPBR_AZ
Solubility,Solubility_AqSolDB
VDss,VDss_Lombardo
